Livestock,Breed,AEZ
Dairy cattle,Friesian,zone II
Dairy cattle,Jersey,zone II
Dairy cattle,Guernsey,zone II
Dairy cattle,Aryshire,zone II
Dairy cattle,Friesian,zone III
Dairy cattle,Jersey,zone III
Dairy cattle,Guernsey,zone III
Dairy cattle,Aryshire,zone III
Dairy cattle,Friesian,zone IV
Dairy cattle,Jersey,zone IV
Dairy cattle,Guernsey,zone IV
Dairy cattle,Aryshire,zone IV
Dairy cattle,Holstein-Friesian,zone II
Dairy cattle,American brahman,zone II
Dairy cattle,Holstein-Friesian,zone II
Dairy cattle,American brahman,zone III
Beef cattle,Local Boran,zone III
Beef cattle,Local Boran,zone IV
Beef cattle,Short-horned zebu,zone IV
Beef cattle,Short-horned zebu,zone V
Beef cattle,Improved zebu,zone III
Beef cattle,Orama boran,zone IV
Beef cattle,Improved zebu,zone IV
Beef cattle,Orama boran,zone V
Dual cattle,Improved boran,zone III
Dual cattle,Sahiwal,zone III
Beef cattle,Red polls,zone III
Beef cattle,Hereford,zone III
Beef cattle,Charolais,zone III
Beef cattle,Aberden Angus,zone III
Beef cattle,Galloway,zone III
Dual cattle,Improved boran,zone IV
Dual cattle,Sahiwal,zone IV
Beef cattle,Red polls,zone IV
Beef cattle,Hereford,zone IV
Beef cattle,Charolais,zone IV
Beef cattle,Aberden Angus,zone IV
Beef cattle,Galloway,zone IV
Camel,Somali,zone IV
Camel,Rendile/Gabbra,zone IV
Camel,Turkana,zone IV
Camel,Somali,zone V
Camel,Rendile/Gabbra,zone V
Camel,Turkana,zone V
Camel,Somali,zone VI
Camel,Rendile/Gabbra,zone VI
Camel,Turkana,zone VI
Dairy goat,Togenburg,zone II
Dairy goat,German apline,zone II
Dairy goat,Saanen,zone II
Dairy goat,Anglonubia,zone II
Dairy goat,Togenburg,zone III
Dairy goat,German apline,zone III
Dairy goat,Saanen,zone III
Dairy goat,Anglonubia,zone III
Meat/chevron goat,Small East African,zone V
Meat/chevron goat,Boar,zone V
Meat/chevron goat,Galla,zone V
Meat/chevron goat,Kalahari red,zone V
Meat/chevron goat,Angora,zone V
Meat/chevron goat,Small East African,zone VI
Meat/chevron goat,Boar,zone VI
Meat/chevron goat,Galla,zone VI
Meat/chevron goat,Kalahari red,zone VI
Meat/chevron goat,Angora,zone VI
Sheep,Merino,zone II
Sheep,Hampshire,zone II
Sheep,Dorper,zone III
Sheep,Dorper,zone IV
Sheep,Dorper,zone V
Sheep,Dorper,zone VI
Sheep,Red masai,zone IV
Sheep,Somali,zone V
Sheep,Somali,zone VI
Sheep,Somali,zone VII
Sheep,Romney,zone II
Poultry,Layers: Indigenous,zone III
Poultry,Layers: Indigenous,zone IV
Poultry,Layers: Indigenous,zone V
Poultry,Layers: Indigenous,zone VI
Poultry,Layers: Exotic,zone II
Poultry,Layers: Exotic,zone III
Poultry,Layers: Exotic,zone IV
Poultry,Meat: Indigenous,zone III
Poultry,Meat: Indigenous,zone IV
Poultry,Meat: Indigenous,zone V
Poultry,Meat: Indigenous,zone VI
Poultry,Broiler: Exotic,zone II
Poultry,Meat: Turkey,zone II
Poultry,Meat: Duck,zone II
Poultry,Meat: Geese,zone II
Poultry,Broiler: Exotic,zone III
Poultry,Meat: Turkey,zone III
Poultry,Meat: Duck,zone III
Poultry,Meat: Geese,zone III
Poultry,Broiler: Exotic,zone IV
Poultry,Meat: Turkey,zone IV
Poultry,Meat: Duck,zone IV
Poultry,Meat: Geese,zone IV
Piggery,Pig,zone II
Piggery,Pig,zone III
Aquaculture,Fish,zone II
Aquaculture,Fish,zone III
Aquaculture,Fish,zone IV
Apiculture,Bees,zone III
Apiculture,Bees,zone IV
Apiculture,Bees,zone V
Rabbit,Rabbit,zone II
Rabbit,Rabbit,zone III
Emerging: Insects,Termites,zone III
Emerging: Insects,Locust,zone III
Emerging: Insects,Crickets,zone III
Emerging: Insects,Grasshopper,zone III
Emerging: Insects,Termites,zone IV
Emerging: Insects,Locust,zone IV
Emerging: Insects,Crickets,zone IV
Emerging: Insects,Grasshopper,zone IV
Emerging: Insects,Termites,zone V
Emerging: Insects,Locust,zone V
Emerging: Insects,Crickets,zone V
Emerging: Insects,Grasshopper,zone V
